m(g),m(kg),V(mL),V(L),1/V
200,0.2,2.2,0.0022,454.5454545
300,0.3,2.3,0.0023,434.7826087
400,0.4,2.55,0.00255,392.1568627
500,0.5,2.7,0.0027,370.3703704
600,0.6,3,0.003,333.3333333
700,0.7,3.2,0.0032,312.5
800,0.8,3.5,0.0035,285.7142857
900,0.9,4,0.004,250
1000,1,4.4,0.0044,227.2727273
1100,1.1,5,0.005,200
1200,1.2,5.7,0.0057,175.4385965
1300,1.3,6.45,0.00645,155.0387597
1400,1.4,7.8,0.0078,128.2051282
1500,1.5,9.9,0.0099,101.010101
