mass (kg),u[mass] (kg),scale (kg),u[scale] (kg)
0.2,0.002,0.399,3.00E-03
0.3,0.003,0.555,2.00E-03
0.4,0.004,7.41E-01,1.00E-03
0.5,0.005,9.27E-01,1.00E-03
0.6,0.006,1.11E+00,1.00E-03
0.7,0.007,1.30E+00,1.00E-03
0.8,0.008,1.49E+00,2.00E-03
0.9,0.009,1.67E+00,1.00E-03
1,0.01,1.86E+00,3.00E-03
