Mass(kg),s_i(displacement of plunger),s_f(displacement of plunger),
0.2,6,6.5,1.083333333
0.3,6,6.9,1.15
0.4,6,7.4,1.233333333
0.5,6,8,1.333333333
0.6,5,7.2,1.44
0.7,5,7.8,1.56
0.8,5,8.6,1.72
0.9,4,7.4,1.85
1,4,8.4,2.1
1.1,3,6.8,2.266666667
1.2,3,7.7,2.566666667
